N,N_UNIQUE,DURATION_NS,DURATION_OVER_N_LOGN,ALGORITHM_TYPE,ALGORITHM_NAME
10,5,30040,1304,SORTING ALGORITHM,MERGE SORT
10,8,16927,735,SORTING ALGORITHM,MERGE SORT
10,10,16927,735,SORTING ALGORITHM,MERGE SORT
10,10,15020,652,SORTING ALGORITHM,MERGE SORT
10,10,15020,652,SORTING ALGORITHM,MERGE SORT
10,10,14066,610,SORTING ALGORITHM,MERGE SORT
10,10,14781,641,SORTING ALGORITHM,MERGE SORT
10,10,14781,641,SORTING ALGORITHM,MERGE SORT
11,8,17166,650,SORTING ALGORITHM,MERGE SORT
11,11,14781,560,SORTING ALGORITHM,MERGE SORT
11,11,17166,650,SORTING ALGORITHM,MERGE SORT
11,11,15974,605,SORTING ALGORITHM,MERGE SORT
11,11,15020,569,SORTING ALGORITHM,MERGE SORT
11,11,15974,605,SORTING ALGORITHM,MERGE SORT
11,11,15020,569,SORTING ALGORITHM,MERGE SORT
11,11,16927,641,SORTING ALGORITHM,MERGE SORT
12,8,23126,775,SORTING ALGORITHM,MERGE SORT
12,12,16927,567,SORTING ALGORITHM,MERGE SORT
12,11,22172,743,SORTING ALGORITHM,MERGE SORT
12,12,16212,543,SORTING ALGORITHM,MERGE SORT
12,12,17166,575,SORTING ALGORITHM,MERGE SORT
12,12,16927,567,SORTING ALGORITHM,MERGE SORT
12,12,16927,567,SORTING ALGORITHM,MERGE SORT
12,12,17166,575,SORTING ALGORITHM,MERGE SORT
14,10,22172,600,SORTING ALGORITHM,MERGE SORT
14,13,21934,593,SORTING ALGORITHM,MERGE SORT
14,14,20980,567,SORTING ALGORITHM,MERGE SORT
14,14,20980,567,SORTING ALGORITHM,MERGE SORT
14,14,21934,593,SORTING ALGORITHM,MERGE SORT
14,14,20980,567,SORTING ALGORITHM,MERGE SORT
14,14,20980,567,SORTING ALGORITHM,MERGE SORT
14,14,20980,567,SORTING ALGORITHM,MERGE SORT
15,10,25033,616,SORTING ALGORITHM,MERGE SORT
15,14,23603,581,SORTING ALGORITHM,MERGE SORT
15,15,22888,563,SORTING ALGORITHM,MERGE SORT
15,15,23126,569,SORTING ALGORITHM,MERGE SORT
15,15,24795,610,SORTING ALGORITHM,MERGE SORT
15,15,21934,539,SORTING ALGORITHM,MERGE SORT
15,15,21934,539,SORTING ALGORITHM,MERGE SORT
15,15,26941,663,SORTING ALGORITHM,MERGE SORT
17,10,27894,579,SORTING ALGORITHM,MERGE SORT
17,17,27894,579,SORTING ALGORITHM,MERGE SORT
17,17,29087,603,SORTING ALGORITHM,MERGE SORT
17,17,28133,584,SORTING ALGORITHM,MERGE SORT
17,17,29087,603,SORTING ALGORITHM,MERGE SORT
17,17,26226,544,SORTING ALGORITHM,MERGE SORT
17,17,28848,598,SORTING ALGORITHM,MERGE SORT
17,17,26702,554,SORTING ALGORITHM,MERGE SORT
19,9,33140,592,SORTING ALGORITHM,MERGE SORT
19,18,30040,536,SORTING ALGORITHM,MERGE SORT
19,19,29325,524,SORTING ALGORITHM,MERGE SORT
19,19,29802,532,SORTING ALGORITHM,MERGE SORT
19,19,28848,515,SORTING ALGORITHM,MERGE SORT
19,19,30040,536,SORTING ALGORITHM,MERGE SORT
19,19,30279,541,SORTING ALGORITHM,MERGE SORT
19,19,30994,554,SORTING ALGORITHM,MERGE SORT
22,9,36954,543,SORTING ALGORITHM,MERGE SORT
22,21,34093,501,SORTING ALGORITHM,MERGE SORT
22,22,32663,480,SORTING ALGORITHM,MERGE SORT
22,22,33140,487,SORTING ALGORITHM,MERGE SORT
22,22,38146,560,SORTING ALGORITHM,MERGE SORT
22,22,38146,560,SORTING ALGORITHM,MERGE SORT
22,22,44107,648,SORTING ALGORITHM,MERGE SORT
22,22,33140,487,SORTING ALGORITHM,MERGE SORT
25,9,42200,524,SORTING ALGORITHM,MERGE SORT
25,22,40769,506,SORTING ALGORITHM,MERGE SORT
25,24,38862,482,SORTING ALGORITHM,MERGE SORT
25,25,60319,749,SORTING ALGORITHM,MERGE SORT
25,25,53882,669,SORTING ALGORITHM,MERGE SORT
25,25,46968,583,SORTING ALGORITHM,MERGE SORT
25,25,45061,559,SORTING ALGORITHM,MERGE SORT
25,25,42915,533,SORTING ALGORITHM,MERGE SORT
28,10,47922,513,SORTING ALGORITHM,MERGE SORT
28,24,50067,536,SORTING ALGORITHM,MERGE SORT
28,28,41961,449,SORTING ALGORITHM,MERGE SORT
28,28,41961,449,SORTING ALGORITHM,MERGE SORT
28,28,41961,449,SORTING ALGORITHM,MERGE SORT
28,28,47206,505,SORTING ALGORITHM,MERGE SORT
28,28,47922,513,SORTING ALGORITHM,MERGE SORT
28,28,39815,426,SORTING ALGORITHM,MERGE SORT
31,11,49114,461,SORTING ALGORITHM,MERGE SORT
31,26,49114,461,SORTING ALGORITHM,MERGE SORT
31,30,47922,450,SORTING ALGORITHM,MERGE SORT
31,31,47922,450,SORTING ALGORITHM,MERGE SORT
31,31,46730,438,SORTING ALGORITHM,MERGE SORT
31,31,46014,432,SORTING ALGORITHM,MERGE SORT
31,31,49114,461,SORTING ALGORITHM,MERGE SORT
31,31,48160,452,SORTING ALGORITHM,MERGE SORT
35,11,58889,473,SORTING ALGORITHM,MERGE SORT
35,30,55074,442,SORTING ALGORITHM,MERGE SORT
35,35,53644,431,SORTING ALGORITHM,MERGE SORT
35,35,59127,475,SORTING ALGORITHM,MERGE SORT
35,35,54121,434,SORTING ALGORITHM,MERGE SORT
35,35,55074,442,SORTING ALGORITHM,MERGE SORT
35,35,55074,442,SORTING ALGORITHM,MERGE SORT
35,35,51975,417,SORTING ALGORITHM,MERGE SORT
39,10,61988,433,SORTING ALGORITHM,MERGE SORT
39,35,59127,413,SORTING ALGORITHM,MERGE SORT
39,38,58889,412,SORTING ALGORITHM,MERGE SORT
39,39,59127,413,SORTING ALGORITHM,MERGE SORT
39,39,60081,420,SORTING ALGORITHM,MERGE SORT
39,39,60081,420,SORTING ALGORITHM,MERGE SORT
39,39,62227,435,SORTING ALGORITHM,MERGE SORT
39,39,60796,425,SORTING ALGORITHM,MERGE SORT
44,11,73909,443,SORTING ALGORITHM,MERGE SORT
44,37,69856,419,SORTING ALGORITHM,MERGE SORT
44,44,61988,372,SORTING ALGORITHM,MERGE SORT
44,44,71763,430,SORTING ALGORITHM,MERGE SORT
44,44,62942,378,SORTING ALGORITHM,MERGE SORT
44,44,63896,383,SORTING ALGORITHM,MERGE SORT
44,44,61988,372,SORTING ALGORITHM,MERGE SORT
44,44,66041,396,SORTING ALGORITHM,MERGE SORT
50,11,83923,429,SORTING ALGORITHM,MERGE SORT
50,44,77009,393,SORTING ALGORITHM,MERGE SORT
50,47,72956,372,SORTING ALGORITHM,MERGE SORT
50,50,77962,398,SORTING ALGORITHM,MERGE SORT
50,50,78201,399,SORTING ALGORITHM,MERGE SORT
50,50,97990,500,SORTING ALGORITHM,MERGE SORT
50,50,77962,398,SORTING ALGORITHM,MERGE SORT
50,50,108718,555,SORTING ALGORITHM,MERGE SORT
56,11,93221,413,SORTING ALGORITHM,MERGE SORT
56,45,90122,399,SORTING ALGORITHM,MERGE SORT
56,55,92029,408,SORTING ALGORITHM,MERGE SORT
56,56,86784,384,SORTING ALGORITHM,MERGE SORT
56,56,87738,389,SORTING ALGORITHM,MERGE SORT
56,56,92983,412,SORTING ALGORITHM,MERGE SORT
56,56,90122,399,SORTING ALGORITHM,MERGE SORT
56,56,92029,408,SORTING ALGORITHM,MERGE SORT
63,11,114202,437,SORTING ALGORITHM,MERGE SORT
63,46,109910,421,SORTING ALGORITHM,MERGE SORT
63,63,101327,388,SORTING ALGORITHM,MERGE SORT
63,61,106096,406,SORTING ALGORITHM,MERGE SORT
63,63,113964,436,SORTING ALGORITHM,MERGE SORT
63,63,102758,393,SORTING ALGORITHM,MERGE SORT
63,63,98943,379,SORTING ALGORITHM,MERGE SORT
63,63,102996,394,SORTING ALGORITHM,MERGE SORT
70,11,118970,400,SORTING ALGORITHM,MERGE SORT
70,46,124931,420,SORTING ALGORITHM,MERGE SORT
70,68,121831,409,SORTING ALGORITHM,MERGE SORT
70,70,122785,412,SORTING ALGORITHM,MERGE SORT
70,70,119924,403,SORTING ALGORITHM,MERGE SORT
70,70,116348,391,SORTING ALGORITHM,MERGE SORT
70,70,115871,389,SORTING ALGORITHM,MERGE SORT
70,70,113964,383,SORTING ALGORITHM,MERGE SORT
79,11,134944,390,SORTING ALGORITHM,MERGE SORT
79,56,128030,370,SORTING ALGORITHM,MERGE SORT
79,79,113010,327,SORTING ALGORITHM,MERGE SORT
79,79,113248,328,SORTING ALGORITHM,MERGE SORT
79,79,158071,457,SORTING ALGORITHM,MERGE SORT
79,79,123023,356,SORTING ALGORITHM,MERGE SORT
79,79,115156,333,SORTING ALGORITHM,MERGE SORT
79,79,125408,363,SORTING ALGORITHM,MERGE SORT
89,11,137805,344,SORTING ALGORITHM,MERGE SORT
89,61,128984,322,SORTING ALGORITHM,MERGE SORT
89,87,128746,322,SORTING ALGORITHM,MERGE SORT
89,89,127077,318,SORTING ALGORITHM,MERGE SORT
89,89,126838,317,SORTING ALGORITHM,MERGE SORT
89,89,129222,323,SORTING ALGORITHM,MERGE SORT
89,89,356197,891,SORTING ALGORITHM,MERGE SORT
89,89,132799,332,SORTING ALGORITHM,MERGE SORT
100,11,157117,341,SORTING ALGORITHM,MERGE SORT
100,66,144958,314,SORTING ALGORITHM,MERGE SORT
100,96,141143,306,SORTING ALGORITHM,MERGE SORT
100,100,144958,314,SORTING ALGORITHM,MERGE SORT
100,99,145912,316,SORTING ALGORITHM,MERGE SORT
100,100,141859,308,SORTING ALGORITHM,MERGE SORT
100,100,142812,310,SORTING ALGORITHM,MERGE SORT
100,100,143051,310,SORTING ALGORITHM,MERGE SORT
112,11,179052,338,SORTING ALGORITHM,MERGE SORT
112,68,168085,318,SORTING ALGORITHM,MERGE SORT
112,104,164031,310,SORTING ALGORITHM,MERGE SORT
112,110,168323,318,SORTING ALGORITHM,MERGE SORT
112,112,163078,308,SORTING ALGORITHM,MERGE SORT
112,112,165224,312,SORTING ALGORITHM,MERGE SORT
112,112,169038,319,SORTING ALGORITHM,MERGE SORT
112,112,165224,312,SORTING ALGORITHM,MERGE SORT
125,11,206947,342,SORTING ALGORITHM,MERGE SORT
125,65,195026,323,SORTING ALGORITHM,MERGE SORT
125,116,190019,314,SORTING ALGORITHM,MERGE SORT
125,125,189304,313,SORTING ALGORITHM,MERGE SORT
125,125,193834,321,SORTING ALGORITHM,MERGE SORT
125,125,188827,312,SORTING ALGORITHM,MERGE SORT
125,125,190973,316,SORTING ALGORITHM,MERGE SORT
125,125,185728,307,SORTING ALGORITHM,MERGE SORT
141,11,219106,314,SORTING ALGORITHM,MERGE SORT
141,75,203132,291,SORTING ALGORITHM,MERGE SORT
141,130,200986,288,SORTING ALGORITHM,MERGE SORT
141,141,201225,288,SORTING ALGORITHM,MERGE SORT
141,141,199794,286,SORTING ALGORITHM,MERGE SORT
141,140,199317,285,SORTING ALGORITHM,MERGE SORT
141,141,201940,289,SORTING ALGORITHM,MERGE SORT
141,141,201225,288,SORTING ALGORITHM,MERGE SORT
158,11,246047,307,SORTING ALGORITHM,MERGE SORT
158,80,228166,285,SORTING ALGORITHM,MERGE SORT
158,148,222921,278,SORTING ALGORITHM,MERGE SORT
158,157,221967,277,SORTING ALGORITHM,MERGE SORT
158,158,219106,273,SORTING ALGORITHM,MERGE SORT
158,158,221967,277,SORTING ALGORITHM,MERGE SORT
158,158,207901,259,SORTING ALGORITHM,MERGE SORT
158,158,716924,896,SORTING ALGORITHM,MERGE SORT
177,11,254869,278,SORTING ALGORITHM,MERGE SORT
177,84,239133,261,SORTING ALGORITHM,MERGE SORT
177,166,231981,253,SORTING ALGORITHM,MERGE SORT
177,176,231266,252,SORTING ALGORITHM,MERGE SORT
177,177,235080,256,SORTING ALGORITHM,MERGE SORT
177,177,230312,251,SORTING ALGORITHM,MERGE SORT
177,177,233888,255,SORTING ALGORITHM,MERGE SORT
177,177,231027,252,SORTING ALGORITHM,MERGE SORT
199,11,284910,270,SORTING ALGORITHM,MERGE SORT
199,89,247955,235,SORTING ALGORITHM,MERGE SORT
199,176,219106,208,SORTING ALGORITHM,MERGE SORT
199,198,218152,207,SORTING ALGORITHM,MERGE SORT
199,199,217914,206,SORTING ALGORITHM,MERGE SORT
199,199,216960,205,SORTING ALGORITHM,MERGE SORT
199,199,218152,207,SORTING ALGORITHM,MERGE SORT
199,199,217676,206,SORTING ALGORITHM,MERGE SORT
223,11,282049,233,SORTING ALGORITHM,MERGE SORT
223,88,262022,217,SORTING ALGORITHM,MERGE SORT
223,199,256061,212,SORTING ALGORITHM,MERGE SORT
223,219,254869,211,SORTING ALGORITHM,MERGE SORT
223,222,254869,211,SORTING ALGORITHM,MERGE SORT
223,223,253915,210,SORTING ALGORITHM,MERGE SORT
223,223,258207,214,SORTING ALGORITHM,MERGE SORT
223,223,255823,212,SORTING ALGORITHM,MERGE SORT
251,11,320911,231,SORTING ALGORITHM,MERGE SORT
251,93,302076,217,SORTING ALGORITHM,MERGE SORT
251,220,296831,214,SORTING ALGORITHM,MERGE SORT
251,249,296831,214,SORTING ALGORITHM,MERGE SORT
251,251,300168,216,SORTING ALGORITHM,MERGE SORT
251,251,293016,211,SORTING ALGORITHM,MERGE SORT
251,251,298976,215,SORTING ALGORITHM,MERGE SORT
251,251,290632,209,SORTING ALGORITHM,MERGE SORT
281,11,386953,244,SORTING ALGORITHM,MERGE SORT
281,89,339746,214,SORTING ALGORITHM,MERGE SORT
281,245,327825,206,SORTING ALGORITHM,MERGE SORT
281,277,328302,207,SORTING ALGORITHM,MERGE SORT
281,280,335216,211,SORTING ALGORITHM,MERGE SORT
281,281,333786,210,SORTING ALGORITHM,MERGE SORT
281,281,329017,207,SORTING ALGORITHM,MERGE SORT
281,281,328063,207,SORTING ALGORITHM,MERGE SORT
316,11,408887,224,SORTING ALGORITHM,MERGE SORT
316,97,378131,207,SORTING ALGORITHM,MERGE SORT
316,269,368833,202,SORTING ALGORITHM,MERGE SORT
316,312,419139,230,SORTING ALGORITHM,MERGE SORT
316,315,369071,202,SORTING ALGORITHM,MERGE SORT
316,316,397920,218,SORTING ALGORITHM,MERGE SORT
316,316,413894,227,SORTING ALGORITHM,MERGE SORT
316,316,387191,212,SORTING ALGORITHM,MERGE SORT
354,11,443220,213,SORTING ALGORITHM,MERGE SORT
354,97,437021,210,SORTING ALGORITHM,MERGE SORT
354,306,409126,196,SORTING ALGORITHM,MERGE SORT
354,346,409841,197,SORTING ALGORITHM,MERGE SORT
354,354,436305,209,SORTING ALGORITHM,MERGE SORT
354,354,432014,207,SORTING ALGORITHM,MERGE SORT
354,354,407218,195,SORTING ALGORITHM,MERGE SORT
354,354,406026,195,SORTING ALGORITHM,MERGE SORT
398,11,501871,210,SORTING ALGORITHM,MERGE SORT
398,99,530958,222,SORTING ALGORITHM,MERGE SORT
398,330,458002,192,SORTING ALGORITHM,MERGE SORT
398,388,454902,190,SORTING ALGORITHM,MERGE SORT
398,398,452756,190,SORTING ALGORITHM,MERGE SORT
398,398,483036,202,SORTING ALGORITHM,MERGE SORT
398,398,462770,194,SORTING ALGORITHM,MERGE SORT
398,398,449180,188,SORTING ALGORITHM,MERGE SORT
446,11,611066,224,SORTING ALGORITHM,MERGE SORT
446,101,534057,196,SORTING ALGORITHM,MERGE SORT
446,361,510931,187,SORTING ALGORITHM,MERGE SORT
446,438,497817,182,SORTING ALGORITHM,MERGE SORT
446,445,506877,186,SORTING ALGORITHM,MERGE SORT
446,446,568866,209,SORTING ALGORITHM,MERGE SORT
446,446,579118,212,SORTING ALGORITHM,MERGE SORT
446,446,540018,198,SORTING ALGORITHM,MERGE SORT
501,11,709056,227,SORTING ALGORITHM,MERGE SORT
501,101,642061,206,SORTING ALGORITHM,MERGE SORT
501,400,656127,210,SORTING ALGORITHM,MERGE SORT
501,490,596046,191,SORTING ALGORITHM,MERGE SORT
501,501,597000,191,SORTING ALGORITHM,MERGE SORT
501,501,600099,192,SORTING ALGORITHM,MERGE SORT
501,501,595092,191,SORTING ALGORITHM,MERGE SORT
501,501,605821,194,SORTING ALGORITHM,MERGE SORT
562,11,781059,219,SORTING ALGORITHM,MERGE SORT
562,101,730037,205,SORTING ALGORITHM,MERGE SORT
562,426,679969,191,SORTING ALGORITHM,MERGE SORT
562,540,689983,193,SORTING ALGORITHM,MERGE SORT
562,560,682115,191,SORTING ALGORITHM,MERGE SORT
562,562,707149,198,SORTING ALGORITHM,MERGE SORT
562,562,709056,199,SORTING ALGORITHM,MERGE SORT
562,562,866174,243,SORTING ALGORITHM,MERGE SORT
630,11,1024961,252,SORTING ALGORITHM,MERGE SORT
630,100,845909,208,SORTING ALGORITHM,MERGE SORT
630,486,1090049,268,SORTING ALGORITHM,MERGE SORT
630,616,783920,193,SORTING ALGORITHM,MERGE SORT
630,627,878810,216,SORTING ALGORITHM,MERGE SORT
630,630,836133,205,SORTING ALGORITHM,MERGE SORT
630,630,802993,197,SORTING ALGORITHM,MERGE SORT
630,630,800132,197,SORTING ALGORITHM,MERGE SORT
707,11,965833,208,SORTING ALGORITHM,MERGE SORT
707,101,897169,193,SORTING ALGORITHM,MERGE SORT
707,505,838994,180,SORTING ALGORITHM,MERGE SORT
707,681,839948,181,SORTING ALGORITHM,MERGE SORT
707,707,810861,174,SORTING ALGORITHM,MERGE SORT
707,707,814914,175,SORTING ALGORITHM,MERGE SORT
707,707,858068,184,SORTING ALGORITHM,MERGE SORT
707,707,941991,203,SORTING ALGORITHM,MERGE SORT
794,11,1124858,212,SORTING ALGORITHM,MERGE SORT
794,101,1019954,192,SORTING ALGORITHM,MERGE SORT
794,546,999927,188,SORTING ALGORITHM,MERGE SORT
794,768,958204,180,SORTING ALGORITHM,MERGE SORT
794,790,984191,185,SORTING ALGORITHM,MERGE SORT
794,794,925064,174,SORTING ALGORITHM,MERGE SORT
794,794,967025,182,SORTING ALGORITHM,MERGE SORT
794,794,921010,173,SORTING ALGORITHM,MERGE SORT
891,11,1273155,210,SORTING ALGORITHM,MERGE SORT
891,100,1107931,183,SORTING ALGORITHM,MERGE SORT
891,589,1111030,183,SORTING ALGORITHM,MERGE SORT
891,841,1067161,176,SORTING ALGORITHM,MERGE SORT
891,887,1111984,183,SORTING ALGORITHM,MERGE SORT
891,891,1105785,182,SORTING ALGORITHM,MERGE SORT
891,891,1108884,183,SORTING ALGORITHM,MERGE SORT
891,891,1132011,187,SORTING ALGORITHM,MERGE SORT
1000,11,1525878,220,SORTING ALGORITHM,MERGE SORT
1000,101,1376867,199,SORTING ALGORITHM,MERGE SORT
1000,634,1216650,176,SORTING ALGORITHM,MERGE SORT
1000,952,1233816,178,SORTING ALGORITHM,MERGE SORT
1000,995,1248121,180,SORTING ALGORITHM,MERGE SORT
1000,1000,1224279,177,SORTING ALGORITHM,MERGE SORT
1000,1000,1343965,194,SORTING ALGORITHM,MERGE SORT
1000,1000,1292943,187,SORTING ALGORITHM,MERGE SORT
1122,11,1650810,209,SORTING ALGORITHM,MERGE SORT
1122,101,1496791,189,SORTING ALGORITHM,MERGE SORT
1122,677,1438856,182,SORTING ALGORITHM,MERGE SORT
1122,1063,1487970,188,SORTING ALGORITHM,MERGE SORT
1122,1111,1419067,180,SORTING ALGORITHM,MERGE SORT
1122,1122,1437187,182,SORTING ALGORITHM,MERGE SORT
1122,1122,1708984,216,SORTING ALGORITHM,MERGE SORT
1122,1122,1447200,183,SORTING ALGORITHM,MERGE SORT
1258,11,1913070,213,SORTING ALGORITHM,MERGE SORT
1258,101,1846075,205,SORTING ALGORITHM,MERGE SORT
1258,712,1694917,188,SORTING ALGORITHM,MERGE SORT
1258,1193,2180099,242,SORTING ALGORITHM,MERGE SORT
1258,1246,1568078,174,SORTING ALGORITHM,MERGE SORT
1258,1257,1636743,182,SORTING ALGORITHM,MERGE SORT
1258,1258,1566886,174,SORTING ALGORITHM,MERGE SORT
1258,1258,1661062,185,SORTING ALGORITHM,MERGE SORT
1412,11,2071142,202,SORTING ALGORITHM,MERGE SORT
1412,101,1917123,187,SORTING ALGORITHM,MERGE SORT
1412,760,1871109,182,SORTING ALGORITHM,MERGE SORT
1412,1311,1729965,168,SORTING ALGORITHM,MERGE SORT
1412,1403,1754045,171,SORTING ALGORITHM,MERGE SORT
1412,1412,1749992,170,SORTING ALGORITHM,MERGE SORT
1412,1412,1763105,172,SORTING ALGORITHM,MERGE SORT
1412,1412,1703977,166,SORTING ALGORITHM,MERGE SORT
1584,11,2414941,206,SORTING ALGORITHM,MERGE SORT
1584,101,2135992,183,SORTING ALGORITHM,MERGE SORT
1584,797,1968860,168,SORTING ALGORITHM,MERGE SORT
1584,1444,1977920,169,SORTING ALGORITHM,MERGE SORT
1584,1574,1917123,164,SORTING ALGORITHM,MERGE SORT
1584,1582,1958131,167,SORTING ALGORITHM,MERGE SORT
1584,1584,2002000,171,SORTING ALGORITHM,MERGE SORT
1584,1584,1977205,169,SORTING ALGORITHM,MERGE SORT
1778,11,2737283,205,SORTING ALGORITHM,MERGE SORT
1778,101,2509117,188,SORTING ALGORITHM,MERGE SORT
1778,841,2359151,177,SORTING ALGORITHM,MERGE SORT
1778,1633,2295017,172,SORTING ALGORITHM,MERGE SORT
1778,1762,2274036,170,SORTING ALGORITHM,MERGE SORT
1778,1777,2441883,183,SORTING ALGORITHM,MERGE SORT
1778,1778,2180099,163,SORTING ALGORITHM,MERGE SORT
1778,1778,2266883,170,SORTING ALGORITHM,MERGE SORT
1995,11,3333806,219,SORTING ALGORITHM,MERGE SORT
1995,101,2783060,183,SORTING ALGORITHM,MERGE SORT
1995,869,2683162,177,SORTING ALGORITHM,MERGE SORT
1995,1818,2618074,172,SORTING ALGORITHM,MERGE SORT
1995,1976,2656936,175,SORTING ALGORITHM,MERGE SORT
1995,1993,2614974,172,SORTING ALGORITHM,MERGE SORT
1995,1995,2666950,175,SORTING ALGORITHM,MERGE SORT
1995,1995,2766847,182,SORTING ALGORITHM,MERGE SORT
2238,11,3753900,217,SORTING ALGORITHM,MERGE SORT
2238,101,3082036,178,SORTING ALGORITHM,MERGE SORT
2238,894,3066062,177,SORTING ALGORITHM,MERGE SORT
2238,2000,2952814,171,SORTING ALGORITHM,MERGE SORT
2238,2214,2948999,170,SORTING ALGORITHM,MERGE SORT
2238,2235,2961158,171,SORTING ALGORITHM,MERGE SORT
2238,2238,2992868,173,SORTING ALGORITHM,MERGE SORT
2238,2238,3036975,175,SORTING ALGORITHM,MERGE SORT
2511,11,4426002,225,SORTING ALGORITHM,MERGE SORT
2511,101,3399848,172,SORTING ALGORITHM,MERGE SORT
2511,917,3360986,170,SORTING ALGORITHM,MERGE SORT
2511,2236,3206014,163,SORTING ALGORITHM,MERGE SORT
2511,2484,3285169,167,SORTING ALGORITHM,MERGE SORT
2511,2510,3320932,168,SORTING ALGORITHM,MERGE SORT
2511,2511,3366231,171,SORTING ALGORITHM,MERGE SORT
2511,2511,3361940,171,SORTING ALGORITHM,MERGE SORT
2818,11,5018234,224,SORTING ALGORITHM,MERGE SORT
2818,101,3806352,170,SORTING ALGORITHM,MERGE SORT
2818,941,3772974,168,SORTING ALGORITHM,MERGE SORT
2818,2458,3705263,165,SORTING ALGORITHM,MERGE SORT
2818,2777,3674268,164,SORTING ALGORITHM,MERGE SORT
2818,2814,3633260,162,SORTING ALGORITHM,MERGE SORT
2818,2818,3690004,164,SORTING ALGORITHM,MERGE SORT
2818,2818,3839969,171,SORTING ALGORITHM,MERGE SORT
3162,11,5376100,210,SORTING ALGORITHM,MERGE SORT
3162,101,4334211,170,SORTING ALGORITHM,MERGE SORT
3162,954,4228115,165,SORTING ALGORITHM,MERGE SORT
3162,2680,4170894,163,SORTING ALGORITHM,MERGE SORT
3162,3114,4186153,164,SORTING ALGORITHM,MERGE SORT
3162,3157,4204034,164,SORTING ALGORITHM,MERGE SORT
3162,3161,4066944,159,SORTING ALGORITHM,MERGE SORT
3162,3162,4172801,163,SORTING ALGORITHM,MERGE SORT
3548,11,6467819,223,SORTING ALGORITHM,MERGE SORT
3548,101,5011796,172,SORTING ALGORITHM,MERGE SORT
3548,977,4904985,169,SORTING ALGORITHM,MERGE SORT
3548,2971,4941940,170,SORTING ALGORITHM,MERGE SORT
3548,3496,4703044,162,SORTING ALGORITHM,MERGE SORT
3548,3540,4707098,162,SORTING ALGORITHM,MERGE SORT
3548,3548,4662990,160,SORTING ALGORITHM,MERGE SORT
3548,3548,4755973,163,SORTING ALGORITHM,MERGE SORT
3981,11,7693767,233,SORTING ALGORITHM,MERGE SORT
3981,101,5683898,172,SORTING ALGORITHM,MERGE SORT
3981,982,5457162,165,SORTING ALGORITHM,MERGE SORT
3981,3276,5567073,168,SORTING ALGORITHM,MERGE SORT
3981,3898,5531787,167,SORTING ALGORITHM,MERGE SORT
3981,3975,5644798,171,SORTING ALGORITHM,MERGE SORT
3981,3980,5440950,164,SORTING ALGORITHM,MERGE SORT
3981,3981,5540847,167,SORTING ALGORITHM,MERGE SORT
4466,11,8657932,230,SORTING ALGORITHM,MERGE SORT
